speciesCode,comName,sciName,locId,locName,obsDt,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory,howMany,date_requested
eurrob1,European Robin,Erithacus rubecula,L939855,Alexandra Park (London),2017-09-22 13:23,51.5933888,-0.1266003,TRUE,FALSE,FALSE,S39340988,NA,4,2017-09-22
eurrob1,European Robin,Erithacus rubecula,L12106788,Hyde Park  and  Kensington Gardens,2017-09-23 18:40,51.5073169,-0.1706133,TRUE,FALSE,FALSE,S39348524,NA,3,2017-09-23
eurrob1,European Robin,Erithacus rubecula,L1006681,Richmond Park (London),2017-09-24 13:27,51.4471069,-0.2717829,TRUE,FALSE,FALSE,S39380253,NA,7,2017-09-24
eurrob1,European Robin,Erithacus rubecula,L3681809,Ingrebourne Valley LNR and Hornchurch Country Park,2017-09-25 18:37,51.5370528,0.2097703,TRUE,FALSE,FALSE,S39387161,NA,8,2017-09-25
eurrob1,European Robin,Erithacus rubecula,L945563,"St James's Park (do not list Barnacle Goose, Shelduck and other captive birds)",2017-09-26 17:49,51.5031329,-0.1338959,TRUE,FALSE,FALSE,S39404437,NA,1,2017-09-26
eurrob1,European Robin,Erithacus rubecula,L14523054,Twickenham Embankment,2017-09-27 15:50,51.4457359,-0.3270518,TRUE,FALSE,FALSE,S39434890,NA,1,2017-09-27
eurrob1,European Robin,Erithacus rubecula,L3902986,Rainham Landfill (restricted access),2017-09-28 09:50,51.4935685,0.1954794,TRUE,FALSE,FALSE,S39460524,NA,3,2017-09-28
eurrob1,European Robin,Erithacus rubecula,L945563,"St James's Park (do not list Barnacle Goose, Shelduck and other captive birds)",2017-09-29 13:00,51.5031329,-0.1338959,TRUE,FALSE,FALSE,S39456928,NA,NA,2017-09-29
eurrob1,European Robin,Erithacus rubecula,L939855,Alexandra Park (London),2017-09-30 12:47,51.5933888,-0.1266003,TRUE,FALSE,FALSE,S39490384,NA,2,2017-09-30
eurrob1,European Robin,Erithacus rubecula,L5602068,GB-England-London-68 Vincent Square - 51.4936x-0.1366,2017-10-01 15:08,51.493629,-0.136569,TRUE,FALSE,TRUE,S39510266,NA,1,2017-10-01
eurrob1,European Robin,Erithacus rubecula,L1107441,Hampton Court Palace,2017-10-02 17:02,51.4038802,-0.3384647,TRUE,FALSE,FALSE,S40883142,NA,3,2017-10-02
eurrob1,European Robin,Erithacus rubecula,L12106788,Hyde Park  and  Kensington Gardens,2017-10-03 17:34,51.5073169,-0.1706133,TRUE,FALSE,FALSE,S39534520,NA,8,2017-10-03
eurrob1,European Robin,Erithacus rubecula,L12106788,Hyde Park  and  Kensington Gardens,2017-10-04 15:22,51.5073169,-0.1706133,TRUE,FALSE,FALSE,S39560268,NA,2,2017-10-04
eurrob1,European Robin,Erithacus rubecula,L6324299,"Paddington Cemetary, London",2017-10-05 16:30,51.5391553,-0.2052212,TRUE,FALSE,TRUE,S39565262,NA,1,2017-10-05
eurrob1,European Robin,Erithacus rubecula,L8190566,Muswell Hill--E (general area),2017-10-06 11:14,51.594753,-0.140426,TRUE,FALSE,TRUE,S39981499,NA,1,2017-10-06
eurrob1,European Robin,Erithacus rubecula,L12106788,Hyde Park  and  Kensington Gardens,2017-10-07 10:20,51.5073169,-0.1706133,TRUE,FALSE,FALSE,S41852276,NA,1,2017-10-07
eurrob1,European Robin,Erithacus rubecula,L1800098,Battersea Park,2017-10-08 15:42,51.4802877,-0.1552555,TRUE,FALSE,FALSE,S39619402,NA,7,2017-10-08
eurrob1,European Robin,Erithacus rubecula,L1066696,Greenwich Park,2017-10-09 10:36,51.4774807,-0.0006008,TRUE,FALSE,FALSE,S39803034,NA,5,2017-10-09
eurrob1,European Robin,Erithacus rubecula,L12106788,Hyde Park  and  Kensington Gardens,2017-10-10 16:50,51.5073169,-0.1706133,TRUE,FALSE,FALSE,S39808888,NA,6,2017-10-10
eurrob1,European Robin,Erithacus rubecula,L3355039,Victoria Tower Gardens,2017-10-11 11:00,51.4970418,-0.124712,TRUE,FALSE,FALSE,S39822951,NA,1,2017-10-11
eurrob1,European Robin,Erithacus rubecula,L9812632,West Norwood Cemetery and Crematorium,2017-10-12 10:30,51.4337133,-0.1024968,TRUE,FALSE,FALSE,S76382890,NA,2,2017-10-12
eurrob1,European Robin,Erithacus rubecula,L12106788,Hyde Park  and  Kensington Gardens,2017-10-13 17:00,51.5073169,-0.1706133,TRUE,FALSE,FALSE,S39904412,NA,2,2017-10-13
eurrob1,European Robin,Erithacus rubecula,L12106788,Hyde Park  and  Kensington Gardens,2017-10-14 15:00,51.5073169,-0.1706133,TRUE,FALSE,FALSE,S42297339,NA,1,2017-10-14
eurrob1,European Robin,Erithacus rubecula,L12106788,Hyde Park  and  Kensington Gardens,2017-10-15 13:40,51.5073169,-0.1706133,TRUE,FALSE,FALSE,S40142927,NA,1,2017-10-15
eurrob1,European Robin,Erithacus rubecula,L939896,WWT London Wetland Centre (from 2000),2017-10-16 11:30,51.4774486,-0.235101,TRUE,FALSE,FALSE,S39957268,NA,1,2017-10-16
eurrob1,European Robin,Erithacus rubecula,L1122086,Regent's Park (please do not list exotic waterfowl),2017-10-17 14:45,51.5316,-0.1559,TRUE,FALSE,FALSE,S39972750,NA,1,2017-10-17
eurrob1,European Robin,Erithacus rubecula,L12106788,Hyde Park  and  Kensington Gardens,2017-10-18 17:00,51.5073169,-0.1706133,TRUE,FALSE,FALSE,S40087484,NA,2,2017-10-18
eurrob1,European Robin,Erithacus rubecula,L5227298,Ruislip Lido,2017-10-20 12:50,51.5906053,-0.4302478,TRUE,FALSE,FALSE,S40031061,NA,6,2017-10-20
eurrob1,European Robin,Erithacus rubecula,L2370965,Queen's Wood LNR,2017-10-21 15:40,51.5816966,-0.1422215,TRUE,FALSE,FALSE,S40098142,NA,1,2017-10-21
eurrob1,European Robin,Erithacus rubecula,L1344841,Brent Reservoir,2017-10-22 09:55,51.5705173,-0.2462203,TRUE,FALSE,FALSE,S40078973,NA,NA,2017-10-22
eurrob1,European Robin,Erithacus rubecula,L3902986,Rainham Landfill (restricted access),2017-10-23 08:58,51.4935685,0.1954794,TRUE,FALSE,FALSE,S40098119,NA,2,2017-10-23
eurrob1,European Robin,Erithacus rubecula,L939855,Alexandra Park (London),2017-10-24 17:12,51.5933888,-0.1266003,TRUE,FALSE,FALSE,S40111705,NA,4,2017-10-24
eurrob1,European Robin,Erithacus rubecula,L1000253,"Rainham Marshes RSPB Reserve, SSSI and LNR (includes Stone Barges and riverside walk)",2017-10-25 09:45,51.4966805,0.2115243,TRUE,FALSE,FALSE,S127337954,NA,1,2017-10-25
eurrob1,European Robin,Erithacus rubecula,L2083779,Walthamstow Wetlands,2017-10-26 12:14,51.5856349,-0.0539798,TRUE,FALSE,FALSE,S40130875,NA,1,2017-10-26
eurrob1,European Robin,Erithacus rubecula,L8190566,Muswell Hill--E (general area),2017-10-27 07:50,51.594753,-0.140426,TRUE,FALSE,TRUE,S40143504,NA,1,2017-10-27
eurrob1,European Robin,Erithacus rubecula,L939896,WWT London Wetland Centre (from 2000),2017-10-28 14:20,51.4774486,-0.235101,TRUE,FALSE,FALSE,S40193626,NA,NA,2017-10-28
eurrob1,European Robin,Erithacus rubecula,L4509924,Muswell Hill--Pembroke Mews,2017-10-29 11:58,51.602614,-0.145284,TRUE,FALSE,TRUE,S40218568,NA,1,2017-10-29
eurrob1,European Robin,Erithacus rubecula,L12106788,Hyde Park  and  Kensington Gardens,2017-10-30 11:25,51.5073169,-0.1706133,TRUE,FALSE,FALSE,S68059139,NA,1,2017-10-30
eurrob1,European Robin,Erithacus rubecula,L8895020,Brockwell Park,2017-10-31 15:55,51.4507442,-0.1065159,TRUE,FALSE,FALSE,S75613101,NA,1,2017-10-31
eurrob1,European Robin,Erithacus rubecula,L5100430,"National Archives, Kew",2017-11-01 15:20,51.4810588,-0.2815542,TRUE,FALSE,TRUE,S40246135,NA,1,2017-11-01
eurrob1,European Robin,Erithacus rubecula,L39382810,Christchurch Gardens,2017-11-02 12:25,51.498034,-0.134478,TRUE,FALSE,FALSE,S40261908,NA,1,2017-11-02
eurrob1,European Robin,Erithacus rubecula,L1000253,"Rainham Marshes RSPB Reserve, SSSI and LNR (includes Stone Barges and riverside walk)",2017-11-03 14:10,51.4966805,0.2115243,TRUE,FALSE,FALSE,S40379326,NA,1,2017-11-03
eurrob1,European Robin,Erithacus rubecula,L3947300,Victoria Embankment Gardens,2017-11-04 13:45,51.5091363,-0.1205502,TRUE,FALSE,FALSE,S40295327,NA,2,2017-11-04
eurrob1,European Robin,Erithacus rubecula,L3444730,Queen Elizabeth Olympic Park,2017-11-05 15:04,51.5442266,-0.0162435,TRUE,FALSE,FALSE,S40320712,NA,4,2017-11-05
eurrob1,European Robin,Erithacus rubecula,L956644,Kew Royal Botanic Gardens,2017-11-06 14:26,51.4787636,-0.2956009,TRUE,FALSE,FALSE,S40342006,NA,3,2017-11-06
eurrob1,European Robin,Erithacus rubecula,L5803024,Wanstead Flats,2017-11-07,51.5590742,0.0319934,TRUE,FALSE,FALSE,S61667385,NA,NA,2017-11-07
eurrob1,European Robin,Erithacus rubecula,L956644,Kew Royal Botanic Gardens,2017-11-08 14:23,51.4787636,-0.2956009,TRUE,FALSE,FALSE,S40378484,NA,4,2017-11-08
eurrob1,European Robin,Erithacus rubecula,L956644,Kew Royal Botanic Gardens,2017-11-09 14:30,51.4787636,-0.2956009,TRUE,FALSE,FALSE,S40394007,NA,2,2017-11-09
eurrob1,European Robin,Erithacus rubecula,L12106788,Hyde Park  and  Kensington Gardens,2017-11-10 16:00,51.5073169,-0.1706133,TRUE,FALSE,FALSE,S40548870,NA,4,2017-11-10
eurrob1,European Robin,Erithacus rubecula,L3797797,Greenwich Peninsula,2017-11-11 12:20,51.4979956,0.0055361,TRUE,FALSE,FALSE,S40497556,NA,1,2017-11-11
eurrob1,European Robin,Erithacus rubecula,L939855,Alexandra Park (London),2017-11-12 12:45,51.5933888,-0.1266003,TRUE,FALSE,FALSE,S40487133,NA,1,2017-11-12
eurrob1,European Robin,Erithacus rubecula,L2755785,Nunhead Cemetery LNR,2017-11-13 09:10,51.4627653,-0.0512409,TRUE,FALSE,FALSE,S40497540,NA,9,2017-11-13
eurrob1,European Robin,Erithacus rubecula,L6766535,Hollow Pond,2017-11-14 14:00,51.5798089,0.0087976,TRUE,FALSE,FALSE,S40509009,NA,2,2017-11-14
eurrob1,European Robin,Erithacus rubecula,L4860073,Heathers Place - Willesden Green NW10 London,2017-11-15 11:00,51.5444668,-0.2326334,TRUE,FALSE,TRUE,S40516146,NA,1,2017-11-15
eurrob1,European Robin,Erithacus rubecula,L6485761,"Cambridge Grove, London, England, GB (51.496, -0.231)",2017-11-16 08:00,51.4961175,-0.230718,TRUE,FALSE,TRUE,S40588595,NA,1,2017-11-16
eurrob1,European Robin,Erithacus rubecula,L1122086,Regent's Park (please do not list exotic waterfowl),2017-11-17 14:15,51.5316,-0.1559,TRUE,FALSE,FALSE,S40552464,NA,5,2017-11-17
eurrob1,European Robin,Erithacus rubecula,L4216594,Bayhurst Wood Country Park,2017-11-18 11:10,51.5899228,-0.4588509,TRUE,FALSE,FALSE,S40570307,NA,3,2017-11-18
eurrob1,European Robin,Erithacus rubecula,L8895020,Brockwell Park,2017-11-19 13:30,51.4507442,-0.1065159,TRUE,FALSE,FALSE,S75617197,NA,1,2017-11-19
eurrob1,European Robin,Erithacus rubecula,L4148152,South Norwood Country Park and LNR,2017-11-20 10:30,51.3980845,-0.0552666,TRUE,FALSE,FALSE,S40620296,NA,NA,2017-11-20
eurrob1,European Robin,Erithacus rubecula,L4148152,South Norwood Country Park and LNR,2017-11-21 09:15,51.3980845,-0.0552666,TRUE,FALSE,FALSE,S40637267,NA,NA,2017-11-21
eurrob1,European Robin,Erithacus rubecula,L958247,Walthamstow Wetlands--Lockwood and Maynard Reservoirs,2017-11-22 12:31,51.5922584,-0.0469923,TRUE,FALSE,FALSE,S40657589,NA,4,2017-11-22
eurrob1,European Robin,Erithacus rubecula,L6499704,"13–21 The South Border, Purley GB-Angleterre (51,3392,-0,1382)",2017-11-23 13:14,51.339237,-0.138157,TRUE,FALSE,TRUE,S40679683,NA,7,2017-11-23
eurrob1,European Robin,Erithacus rubecula,L3902986,Rainham Landfill (restricted access),2017-11-24 13:40,51.4935685,0.1954794,TRUE,FALSE,FALSE,S40784366,NA,1,2017-11-24
eurrob1,European Robin,Erithacus rubecula,L6509662,"Belhus Country Park, Aveley, England, GB (51.52, 0.254)",2017-11-25 13:21,51.5204775,0.2539781,TRUE,FALSE,TRUE,S40738980,NA,1,2017-11-25
eurrob1,European Robin,Erithacus rubecula,L1236726,Walthamstow Marshes SSSI,2017-11-26 13:27,51.5693585,-0.0509191,TRUE,FALSE,FALSE,S40741838,NA,1,2017-11-26
eurrob1,European Robin,Erithacus rubecula,L6489909,London Roundwood Park,2017-11-27 11:30,51.5411038,-0.2379227,TRUE,FALSE,TRUE,S40768597,NA,1,2017-11-27
eurrob1,European Robin,Erithacus rubecula,L939896,WWT London Wetland Centre (from 2000),2017-11-28 11:30,51.4774486,-0.235101,TRUE,FALSE,FALSE,S40786637,NA,6,2017-11-28
eurrob1,European Robin,Erithacus rubecula,L6482779,Ruislip Woods NNR--Mad Bess Wood,2017-11-29 11:00,51.592732,-0.4469419,TRUE,FALSE,FALSE,S40803573,NA,1,2017-11-29
eurrob1,European Robin,Erithacus rubecula,L6524649,"21 Stacey Street, London GB-England (51.5144,-0.1285)",2017-11-30 15:35,51.514434,-0.128484,TRUE,FALSE,TRUE,S40844886,NA,1,2017-11-30
eurrob1,European Robin,Erithacus rubecula,L1402306,Leyton Flats,2017-12-01 09:56,51.5787073,0.0158131,TRUE,FALSE,FALSE,S40838058,NA,NA,2017-12-01
eurrob1,European Robin,Erithacus rubecula,L1122086,Regent's Park (please do not list exotic waterfowl),2017-12-02 10:32,51.5316,-0.1559,TRUE,FALSE,FALSE,S40858652,NA,5,2017-12-02
eurrob1,European Robin,Erithacus rubecula,L6443310,Carshalton and Beddington Parks ,2017-12-03 14:21,51.367565,-0.158956,TRUE,FALSE,TRUE,S40880710,NA,10,2017-12-03
eurrob1,European Robin,Erithacus rubecula,L6533702,Kennington Park,2017-12-04 13:50,51.4823791,-0.1088752,TRUE,FALSE,TRUE,S40903951,NA,3,2017-12-04
eurrob1,European Robin,Erithacus rubecula,L956644,Kew Royal Botanic Gardens,2017-12-05 14:30,51.4787636,-0.2956009,TRUE,FALSE,FALSE,S40923903,NA,3,2017-12-05
eurrob1,European Robin,Erithacus rubecula,L6538548,"Haggerston Park, London GB-England (51.5326,-0.0666)",2017-12-06 12:45,51.532564,-0.066607,TRUE,FALSE,TRUE,S40939458,NA,1,2017-12-06
